CensusTract,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LowIncomeTracts,PovertyRate,TractLOWI,Total_Population
42003260200,Allegheny County,1,1,1,1,17,703,2772
42003260700,Allegheny County,0,0,0,0,7.7,313,1858
42003260900,Allegheny County,1,1,1,1,67.5,1113,2565
42003261200,Allegheny County,0,0,0,0,3.7,126,1109
42003261400,Allegheny County,0,1,0,1,27.8,923,3278
42003261500,Allegheny County,0,1,0,1,33.6,735,1966
42003262000,Allegheny County,1,1,1,1,32.5,1198,3040
42003270100,Allegheny County,0,0,0,0,10.9,676,2868
42003270300,Allegheny County,0,0,0,0,9.1,676,2258
42003270400,Allegheny County,0,0,0,0,15.3,434,2897
42003270800,Allegheny County,0,0,0,0,19.3,838,3053
42003271500,Allegheny County,0,1,0,1,19.9,1902,3925
42003281400,Allegheny County,0,1,0,1,42.3,1473,2578
42003281500,Allegheny County,0,0,0,0,6.4,371,1621
42003290100,Allegheny County,0,1,0,1,14.8,1052,2184
42003290200,Allegheny County,0,1,0,1,17.1,2119,4327
42003290400,Allegheny County,1,1,1,1,25,1818,4174
42003300100,Allegheny County,0,1,0,1,32.9,2353,4432
42003310200,Allegheny County,0,0,0,0,7.7,982,3712
42003310300,Allegheny County,0,0,0,0,3.3,113,892
42003320400,Allegheny County,1,1,1,1,16.2,718,2212
42003320600,Allegheny County,0,0,0,0,10.1,485,2438
42003320700,Allegheny County,0,0,0,0,14.9,563,1810
42003401100,Allegheny County,0,0,0,0,4.9,1134,4642
42003401200,Allegheny County,0,1,0,1,31.1,1803,3458
42003401300,Allegheny County,0,0,0,0,4,350,2834
42003402000,Allegheny County,1,1,1,1,17.5,1125,3543
42003403500,Allegheny County,1,1,1,1,23.3,2262,4993
42003404000,Allegheny County,0,0,0,0,12.2,423,1362
42003405000,Allegheny County,0,0,0,0,6.9,141,1286
42003406000,Allegheny County,0,0,0,0,3.2,398,2504
42003407001,Allegheny County,0,0,0,0,3,1302,4680
42003407002,Allegheny County,0,0,0,0,6.6,989,6883
42003408001,Allegheny County,0,0,0,0,6.4,622,4325
42003408002,Allegheny County,0,0,0,0,2.4,436,4906
42003409000,Allegheny County,0,0,0,0,2.4,893,7683
42003410000,Allegheny County,0,0,0,0,2.2,49,1149
42003411000,Allegheny County,0,0,0,0,3.5,879,5996
42003412001,Allegheny County,0,0,0,0,3.3,514,6501
42003412002,Allegheny County,0,0,0,0,1.4,177,4863
42003413100,Allegheny County,0,0,0,0,7.6,820,6773
42003413201,Allegheny County,0,0,0,0,4.7,373,3850
42003413202,Allegheny County,0,0,0,0,3.3,388,2715
42003413300,Allegheny County,0,0,0,0,2.1,363,5116
42003413400,Allegheny County,0,0,0,0,3.2,559,4584
42003413500,Allegheny County,0,0,0,0,6.7,1049,5984
42003414101,Allegheny County,0,0,0,0,1.6,345,5612
42003414102,Allegheny County,0,0,0,0,3.9,1214,5971
42003414200,Allegheny County,0,0,0,0,5.6,692,5943
42003415001,Allegheny County,0,0,0,0,4.2,453,4042
42003415002,Allegheny County,0,0,0,0,5.1,200,2767
42003416000,Allegheny County,0,1,0,1,9.5,445,1813
42003417100,Allegheny County,0,0,0,0,9.1,424,2405
42003417200,Allegheny County,0,0,0,0,14.8,417,1423
42003418000,Allegheny County,0,0,0,0,6.6,297,1899
42003419000,Allegheny County,0,0,0,0,9.4,572,3242
42003420000,Allegheny County,1,1,1,1,14.4,750,1539
42003421100,Allegheny County,0,0,0,0,4.6,809,4197
42003421200,Allegheny County,0,0,0,0,5.9,552,4659
42003422000,Allegheny County,0,0,0,0,0.6,273,5436
42003423000,Allegheny County,0,0,0,0,4.3,468,2960
42003424000,Allegheny County,1,1,1,1,19.3,1430,3594
42003425000,Allegheny County,0,1,0,1,8.8,1290,3924
42003426300,Allegheny County,0,0,0,0,2,713,6194
42003426400,Allegheny County,0,0,0,0,6.2,604,4819
42003426700,Allegheny County,0,0,0,0,4.5,404,2664
42003426800,Allegheny County,0,0,0,0,2.9,382,5295
42003427000,Allegheny County,1,1,1,1,18,1531,4028
42003427100,Allegheny County,0,0,0,0,4.8,584,5605
42003427200,Allegheny County,0,0,0,0,12.4,1047,5180
42003428100,Allegheny County,0,0,0,0,5.9,322,1413
42003428200,Allegheny County,0,0,0,0,2.8,299,2443
42003429100,Allegheny County,0,0,0,0,6.9,467,2814
42003429201,Allegheny County,0,0,0,0,4,545,4463
42003429202,Allegheny County,0,0,0,0,3.3,515,4674
