CensusTract,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LowIncomeTracts,PovertyRate,TractLOWI,Total_Population
42019902700,Butler County,0,0,0,0,14.5,566,2146
42019902800,Butler County,0,0,0,0,8.2,641,2911
42019902900,Butler County,0,0,0,0,2.1,251,1654
42019903000,Butler County,0,0,0,0,1.5,375,4660
42019903100,Butler County,0,0,0,0,7.7,381,2634
42019910100,Butler County,0,0,0,0,10.8,1256,4532
42019910200,Butler County,0,0,0,0,9,1374,4961
42019910301,Butler County,0,0,0,1,22.9,1917,8578
42019910302,Butler County,0,0,0,0,12.1,1391,8578
42019910400,Butler County,1,1,1,1,35,1462,2742
42019910500,Butler County,0,0,0,0,0,0,2194
42019910600,Butler County,0,0,0,0,17.2,1423,4225
42019910700,Butler County,0,0,0,0,3.7,386,3074
42019910800,Butler County,0,0,0,0,5.7,506,3357
42019910900,Butler County,0,0,0,0,4.5,864,4825
42019911000,Butler County,0,0,0,0,6.5,1381,6061
42019911100,Butler County,0,0,0,0,8.8,854,4217
42019911200,Butler County,0,0,0,0,10.8,1469,5407
42019911300,Butler County,0,0,0,0,8.5,1351,5448
42019911400,Butler County,0,0,0,1,12.5,1089,3585
42019911501,Butler County,0,0,0,0,4.4,822,5690
42019911502,Butler County,0,0,0,0,5.6,727,4408
42019911600,Butler County,0,0,0,0,4.3,567,5210
42019911700,Butler County,0,0,0,0,5.7,901,4696
42019911800,Butler County,0,0,0,0,5.4,1223,6156
42019911900,Butler County,0,0,0,0,5.1,749,5060
42019912001,Butler County,0,0,0,0,1.9,417,7800
42019912002,Butler County,0,0,0,0,4.6,431,7800
42019912101,Butler County,0,0,0,0,5.4,602,3836
42019912102,Butler County,0,0,0,0,5.8,332,3026
42019912200,Butler County,0,0,0,0,3,243,2965
42019912301,Butler County,0,0,0,0,2.2,442,7984
42019912303,Butler County,0,0,0,0,3.1,181,7984
42019912304,Butler County,0,0,0,0,0.3,305,7984
42019912401,Butler County,0,0,0,0,0.6,346,9348
42019912402,Butler County,0,0,0,0,5.9,856,9348
42019912700,Butler County,0,0,0,0,3.8,796,6827
42019912800,Butler County,0,0,0,0,2.7,984,5586
42021000100,Cambria County,0,0,0,1,45.3,902,1453
42021000200,Cambria County,0,1,0,1,29.2,353,1352
42021000300,Cambria County,0,1,0,1,38.6,1039,2273
42021000500,Cambria County,0,1,0,1,39.3,1020,1886
42021000600,Cambria County,0,1,0,1,39.9,1172,2310
42021000700,Cambria County,0,0,0,1,15.9,1302,3028
42021001200,Cambria County,0,1,0,1,27.7,1835,3544
42021010100,Cambria County,0,0,0,0,11.4,1187,4380
42021010200,Cambria County,1,1,1,1,20.5,601,1733
42021010300,Cambria County,0,0,0,0,10.6,604,2501
42021010500,Cambria County,1,1,1,1,13.6,1021,3951
42021010600,Cambria County,0,0,0,0,7.4,461,2555
42021010700,Cambria County,0,0,0,0,4.1,645,3054
42021010801,Cambria County,0,0,0,0,7.1,1034,5753
42021011000,Cambria County,0,1,0,1,19.2,741,1834
42021011100,Cambria County,0,0,0,0,7.8,1011,5862
42021011200,Cambria County,0,0,0,0,6.9,397,2262
42021011300,Cambria County,0,0,0,0,4.5,582,5523
42021011400,Cambria County,1,1,1,1,14.8,1068,3912
42021011500,Cambria County,0,0,0,0,5.6,742,4925
42021011600,Cambria County,0,1,0,1,20.3,997,3054
42021011700,Cambria County,0,0,0,1,19.5,1028,2728
42021011800,Cambria County,1,1,1,1,9.7,1073,4373
42021011900,Cambria County,0,1,0,1,14.4,1381,4199
42021012000,Cambria County,0,0,0,0,10,1657,6437
42021012100,Cambria County,0,0,0,1,11.2,1014,2577
42021012200,Cambria County,0,0,0,0,13.9,1094,4044
42021012300,Cambria County,0,0,0,0,15,622,3798
42021012400,Cambria County,0,0,0,0,9.1,922,4292
42021012500,Cambria County,0,0,0,0,10.4,968,6323
42021012600,Cambria County,0,0,0,0,7.8,884,3091
42021012700,Cambria County,0,0,0,0,10.1,612,2680
42021012800,Cambria County,0,0,0,0,10.7,1362,6366
42021012900,Cambria County,0,0,0,0,8.1,687,3906
42021013000,Cambria County,0,1,0,1,14.2,836,2837
42021013100,Cambria County,0,0,0,1,15.5,792,2976
42021013200,Cambria County,0,0,0,0,15.3,1290,4126
42021013300,Cambria County,0,0,0,0,9.7,1129,6495
42021013400,Cambria County,1,1,1,1,48.8,1721,6495
42021013500,Cambria County,1,1,1,1,40.6,1449,6495
42021013600,Cambria County,0,1,0,1,56.8,2468,6495
42021013700,Cambria County,0,0,0,0,11.7,897,6495
42051260100,Fayette County,1,1,1,1,15.8,1662,6386
42051260200,Fayette County,0,0,0,0,13.7,1152,4550
42051260300,Fayette County,0,0,0,1,11.1,1600,4062
42051260401,Fayette County,0,0,0,0,13.2,661,2635
42051260402,Fayette County,0,0,0,0,10.1,1220,5101
42051260500,Fayette County,0,0,0,1,25.2,2382,6827
42051260600,Fayette County,0,0,0,1,16.5,1857,4828
42051260700,Fayette County,0,1,0,1,12.6,1596,4376
42051260800,Fayette County,0,1,0,1,26.4,2061,4752
42051260900,Fayette County,0,0,0,0,9.4,1373,4705
42051261000,Fayette County,0,0,0,0,9.5,583,2628
42051261100,Fayette County,0,0,0,0,7.5,590,2810
42051261200,Fayette County,1,1,1,1,35.2,1133,2811
42051261300,Fayette County,0,0,0,0,19.9,1615,5452
42051261401,Fayette County,1,1,1,1,22.2,984,6390
42051261402,Fayette County,0,0,0,1,34.5,1504,6390
42051261500,Fayette County,0,0,0,1,11.4,1097,4644
42051261600,Fayette County,0,0,0,1,20.3,1196,3127
42051261700,Fayette County,0,1,0,1,16.9,1455,3471
42051261800,Fayette County,0,1,0,1,14.9,1327,3898
42051261900,Fayette County,1,1,1,1,26.9,1542,4057
42051262000,Fayette County,0,0,0,0,5.1,538,5210
42051262100,Fayette County,0,1,0,1,14.1,828,2778
42051262200,Fayette County,0,1,0,1,21.8,1238,4025
42051262300,Fayette County,0,1,0,1,36,2095,4336
42051262400,Fayette County,0,0,0,0,15.2,1181,3297
42051262500,Fayette County,1,1,1,1,19.3,1268,3644
42051262600,Fayette County,0,0,0,0,18.6,932,3454
42051262701,Fayette County,0,0,0,0,19.3,1260,7231
42051262702,Fayette County,0,0,0,0,14.6,862,7231
42051262800,Fayette County,0,0,0,1,11.1,2354,7494
42051262900,Fayette County,0,0,0,1,27.5,2515,5595
42051263000,Fayette County,1,1,1,1,27.2,1637,3456
42051263100,Fayette County,0,0,0,1,15.6,2427,6296
42051263200,Fayette County,0,0,0,1,18.1,861,2497
42051263300,Fayette County,1,1,1,1,14.4,655,1821
42059970100,Greene County,0,0,0,0,14.2,2215,7120
42059970200,Greene County,0,0,0,0,7.3,719,3308
42059970300,Greene County,0,0,0,0,11.1,1129,4980
42059970400,Greene County,0,0,0,0,13.6,1283,4877
42059970501,Greene County,0,0,0,0,5.2,358,8893
42059970502,Greene County,0,0,0,0,19.2,1290,8893
42059970600,Greene County,1,1,1,1,20.1,1212,4184
42059970700,Greene County,0,0,0,0,8.3,653,2943
42059970800,Greene County,0,0,0,1,22.8,1662,4367
42063960100,Indiana County,0,0,0,1,23.3,1935,4356
42063960200,Indiana County,0,0,0,1,26.5,2847,5018
42063960300,Indiana County,0,0,0,1,12.4,907,2845
42063960400,Indiana County,0,0,0,1,16.5,1602,3995
42063960500,Indiana County,0,0,0,0,9.3,865,3793
42063960600,Indiana County,0,0,0,1,5.4,1061,5345
42063960700,Indiana County,0,0,0,0,15.6,2407,6200
42063960800,Indiana County,0,0,0,0,11.6,1002,3910
42063960900,Indiana County,0,0,0,0,6.3,1081,3924
42063961000,Indiana County,0,1,0,1,26.9,881,2352
42063961101,Indiana County,0,1,0,1,50.1,2592,4893
42063961102,Indiana County,0,0,0,1,90.5,832,5078
42063961200,Indiana County,0,0,0,0,16.5,684,2572
42063961300,Indiana County,0,0,0,0,14.3,1216,4389
42063961400,Indiana County,0,0,0,0,11.1,735,3415
42063961500,Indiana County,0,0,0,1,14.3,1245,4256
42063961600,Indiana County,0,0,0,0,9.5,1391,4876
42063961700,Indiana County,0,0,0,1,20.2,670,1844
42063961800,Indiana County,0,0,0,1,9.1,466,1744
42063961900,Indiana County,0,0,0,0,10,1089,4709
42063962000,Indiana County,0,0,0,1,18.1,1556,3746
42063962100,Indiana County,0,0,0,0,11.4,1171,3607
42063962200,Indiana County,0,0,0,0,8.2,503,2738
42073000100,Lawrence County,0,0,0,0,9.7,1414,4585
42073000200,Lawrence County,1,1,1,1,24,1007,2319
42073000300,Lawrence County,1,1,1,1,25.9,1994,4152
42073000400,Lawrence County,0,1,0,1,52.8,1351,2559
42073000600,Lawrence County,1,1,1,1,37,505,1571
42073000700,Lawrence County,0,1,0,1,35.4,1050,2349
42073000800,Lawrence County,0,1,0,1,23.2,1403,4641
42073000900,Lawrence County,0,1,0,1,40.3,1329,2109
42073001000,Lawrence County,1,1,1,1,25.1,943,2026
42073010100,Lawrence County,0,0,0,0,8.7,827,3916
42073010201,Lawrence County,0,0,0,0,4.3,521,8171
42073010202,Lawrence County,0,0,0,0,12.7,1661,8171
42073010300,Lawrence County,0,0,0,0,9,249,2459
42073010400,Lawrence County,0,0,0,0,9,713,3658
42073010500,Lawrence County,0,0,0,0,10.6,838,3447
42073010600,Lawrence County,1,1,1,1,12,897,2282
42073010700,Lawrence County,0,0,0,0,13.5,1003,2866
42073010800,Lawrence County,0,0,0,0,2.9,1013,6161
42073010900,Lawrence County,0,0,0,0,9.3,737,3179
42073011000,Lawrence County,1,1,1,1,9.7,1463,5109
42073011100,Lawrence County,0,0,0,1,16.2,1353,4478
42073011200,Lawrence County,0,0,0,0,7.1,479,2584
42073011300,Lawrence County,0,0,0,0,9.8,987,4307
42073011400,Lawrence County,0,0,0,1,6.7,607,2355
42073011500,Lawrence County,0,0,0,0,11.9,927,3820
42073011600,Lawrence County,0,1,0,1,12.4,1359,4462
42073011700,Lawrence County,0,1,0,1,9.2,659,2179
42073011800,Lawrence County,0,1,0,1,16.8,1236,2899
42111020101,Somerset County,0,0,0,1,5.9,581,2202
42111020102,Somerset County,0,0,0,1,8.1,1629,5512
42111020200,Somerset County,0,0,0,0,5,1031,4991
42111020300,Somerset County,0,1,0,1,27.2,2012,4395
42111020400,Somerset County,0,0,0,1,11.7,1273,4176
42111020500,Somerset County,0,0,0,1,9.7,1096,3355
42111020600,Somerset County,0,0,0,1,12.8,2044,6132
42111020700,Somerset County,0,0,0,0,7,690,3044
42111020800,Somerset County,1,1,1,1,5.8,956,4095
42111020900,Somerset County,0,0,0,0,10,1420,5224
42111021000,Somerset County,0,0,0,0,14.4,1375,4356
42111021100,Somerset County,1,1,1,1,37.6,869,2338
42111021200,Somerset County,0,0,0,0,11.2,659,2916
42111021300,Somerset County,0,0,0,0,9.3,903,3515
42111021400,Somerset County,0,0,0,0,12.7,1421,6376
42111021500,Somerset County,0,0,0,1,17.6,1085,2817
42111021600,Somerset County,1,1,1,1,19.8,854,2473
42111021700,Somerset County,0,0,0,0,17,1131,3171
42111021800,Somerset County,0,0,0,0,8,933,3771
42111021901,Somerset County,0,0,0,1,9.6,681,5164
42111021902,Somerset County,0,0,0,1,17.7,923,5164
42125704100,Washington County,0,0,0,1,49.2,825,1418
42125711000,Washington County,0,0,0,0,6.1,789,4013
42125712700,Washington County,0,0,0,0,10.6,363,1576
42125713700,Washington County,0,0,0,0,14,1461,4567
42125714000,Washington County,0,0,0,1,12.9,990,3175
42125715700,Washington County,0,0,0,1,11.3,509,1866
42125721000,Washington County,0,0,0,0,7.9,951,4497
42125722700,Washington County,0,0,0,0,2.8,972,3422
42125731000,Washington County,0,0,0,0,10.3,1507,6170
42125732000,Washington County,0,0,0,0,5.6,613,7526
42125741100,Washington County,0,0,0,0,3.2,640,4063
42125741300,Washington County,0,0,0,0,4.1,488,3168
42125742100,Washington County,0,0,0,0,5.4,1233,5264
42125742200,Washington County,0,0,0,0,8,351,1890
42125743700,Washington County,0,0,0,0,15.6,481,1314
42125744100,Washington County,0,0,0,0,10.5,1752,5289
42125744200,Washington County,0,0,0,0,11,1065,3318
42125745100,Washington County,0,0,0,0,3.3,935,6424
42125745200,Washington County,0,0,0,0,2.7,569,3633
42125746100,Washington County,0,0,0,0,1.7,676,5979
42125746200,Washington County,0,0,0,0,1.4,231,3508
42125746301,Washington County,0,0,0,0,0.8,167,8079
42125746302,Washington County,0,0,0,0,3.4,526,8079
42125751100,Washington County,0,0,0,0,10.8,1356,5391
42125751200,Washington County,1,1,1,1,21.6,1138,3435
42125752700,Washington County,0,0,0,0,7.7,809,4818
42125753700,Washington County,0,0,0,0,12.1,362,1930
42125754200,Washington County,0,0,0,0,10.6,581,3212
42125754300,Washington County,0,1,0,1,14.2,939,3908
42125754400,Washington County,0,1,0,1,36.3,1132,2166
42125754500,Washington County,0,0,0,0,18.3,870,2838
42125754600,Washington County,1,1,1,1,17.1,773,1770
42125755100,Washington County,0,0,0,0,9.4,1082,3280
42125755200,Washington County,0,0,0,0,2.4,618,4707
42125755700,Washington County,0,0,0,0,6.9,741,3960
42125761000,Washington County,0,0,0,0,10.1,1157,5663
42125762000,Washington County,0,0,0,0,14.9,823,2867
42125763700,Washington County,0,0,0,0,12.8,462,1793
42125764000,Washington County,1,1,1,1,20.7,1108,3717
42125771100,Washington County,0,0,0,0,4.4,1085,4991
42125771200,Washington County,0,0,0,0,9.6,808,3589
42125772700,Washington County,1,1,1,1,13.1,908,2262
42125773100,Washington County,0,1,0,1,10,1064,3194
42125773200,Washington County,0,0,0,1,12.2,492,1563
42125774700,Washington County,0,0,0,0,5.2,1248,5677
42125775200,Washington County,1,1,1,1,16.9,893,2947
42125775300,Washington County,1,1,1,1,18.4,910,2710
42125781700,Washington County,0,0,0,0,5.9,850,4461
42125782700,Washington County,1,1,1,1,14.6,448,1409
42125783200,Washington County,1,1,1,1,22.9,1368,2829
42125783300,Washington County,1,1,1,1,20.4,710,2042
42125784000,Washington County,0,0,0,0,10.8,641,2983
42125791000,Washington County,1,1,1,1,10.4,507,1749
42125792100,Washington County,0,0,0,0,16.9,1276,2739
42125792200,Washington County,1,1,1,1,29.7,875,2669
42125795700,Washington County,0,0,0,1,22.5,1146,2524
42125795800,Washington County,0,0,0,0,3.7,629,2524
42125795900,Washington County,0,0,0,0,8,1067,2524
42125796000,Washington County,0,0,0,0,9.1,790,2524
