CensusTract,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LowIncomeTracts,PovertyRate,TractLOWI,Population,County
42103950606,0,0,0,0,5.1,928,18318,Lawrence County
42103950701,0,0,0,0,7.1,1091,15398,Lawrence County
42103950702,0,0,0,0,14.3,840,5884,Lawrence County
42103950801,0,0,0,0,10.1,1529,15103,Lawrence County
42103950802,0,0,0,1,18.3,1702,9308,Lawrence County
42103950900,0,0,0,1,16,1455,9077,Lawrence County
42105950100,0,0,0,1,17.1,1905,11172,Lawrence County
42105950200,0,0,0,1,17.2,1341,7796,Lawrence County
42105950300,0,0,0,0,11.8,1266,10687,Lawrence County
42105950400,0,0,0,0,8.6,924,10721,Lawrence County
42105950500,0,0,0,1,17.4,756,4334,Lawrence County
42107000100,0,0,0,0,11.2,1490,13296,Lawrence County
42107000200,0,0,0,1,21,1268,6048,Lawrence County
42107000300,0,0,0,0,6.1,891,14707,Lawrence County
42107000400,0,0,0,0,8.4,493,5839,Lawrence County
42107000500,0,1,0,1,32.1,2644,8248,Lawrence County
42107000601,0,0,0,1,44.1,2208,5003,Lawrence County
42107000602,0,1,0,1,33,652,1978,Lawrence County
42107000700,0,0,0,0,17.3,1051,6059,Lawrence County
42107000800,0,0,0,0,14.1,1278,9045,Lawrence County
42107000900,0,0,0,1,10.9,1970,18099,Lawrence County
42107001000,1,1,1,1,17.9,1207,6732,Lawrence County
42107001100,0,0,0,0,5.8,539,9354,Lawrence County
42107001200,0,0,0,0,10.1,1284,12745,Lawrence County
42107001300,0,0,0,1,16.1,1262,7850,Lawrence County
42107001400,0,0,0,1,14.8,673,4537,Lawrence County
42107001500,0,1,0,1,19.2,2483,12939,Lawrence County
42107001600,0,0,0,0,8,879,10962,Lawrence County
42107001700,0,0,0,0,8.4,933,11133,Lawrence County
42107001800,0,0,0,0,9.7,421,4357,Lawrence County
42107001900,0,1,0,1,27.8,3355,12060,Lawrence County
42107002000,0,1,0,1,13.4,977,7298,Lawrence County
42107002100,0,0,0,0,6.3,343,5407,Lawrence County
42107002200,0,0,0,0,10,929,9333,Lawrence County
42107002300,0,1,0,1,15,1345,8978,Lawrence County
42107002400,0,0,0,0,10,704,7040,Lawrence County
42107002500,0,0,0,0,8.5,508,5954,Lawrence County
42107002600,0,1,0,1,19.8,1937,9763,Lawrence County
42107002700,0,0,0,0,11.2,915,8161,Lawrence County
42107002800,1,1,1,1,15.3,1016,6628,Lawrence County
42107002900,0,0,0,0,6.5,1040,15895,Lawrence County
42107003000,0,0,0,0,4.6,936,20294,Lawrence County
42107003100,0,0,0,0,5.8,442,7589,Lawrence County
42107003200,0,0,0,0,7.4,1506,20333,Lawrence County
42107003300,0,0,0,0,9.2,1773,19327,Lawrence County
42107003400,0,0,0,0,7.5,663,8812,Lawrence County
42107003500,0,0,0,0,1.5,660,43925,Lawrence County
