,ProductQuantity,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LowIncomeTracts,TractLOWI,Total_Population,Risk_Level,Shortage_PF
15424,9305.0,0.0,0.0,0.0,1.0,4848.0,24386.0,0.0,0.5210102095647501
15425,18.0,1.0,1.0,1.0,1.0,14337.0,42561.0,2.0,796.5
15431,7455.0,0.0,0.0,0.0,0.0,3750.0,18018.0,0.0,0.5030181086519114
15475,40118.0,1.0,1.0,1.0,1.0,2599.0,11842.0,2.0,0.06478388753178124
15501,11903.0,1.0,1.0,1.0,1.0,11048.0,43416.0,2.0,0.9281693690666218
15530,6529.0,1.0,1.0,1.0,1.0,3939.0,16902.0,2.0,0.6033083167406954
15531,7950.0,0.0,0.0,0.0,1.0,4411.0,14733.0,0.0,0.5548427672955974
15552,2707.0,1.0,1.0,1.0,1.0,5394.0,18352.0,2.0,1.9926117473217584
15557,1491.0,0.0,0.0,0.0,1.0,3996.0,15762.0,0.0,2.680080482897384
15626,15936.0,,,,,,,,
15701,76488.0,0.0,1.0,0.0,1.0,15257.0,51588.0,3.0,0.19946919778265873
15904,10803.0,1.0,1.0,1.0,1.0,6822.0,35795.0,2.0,0.6314912524298806
15905,50781.0,1.0,1.0,1.0,1.0,8685.0,35438.0,2.0,0.1710285342943227
15926,696.0,0.0,0.0,0.0,1.0,2835.0,10607.0,0.0,4.073275862068965
15935,2021.0,0.0,0.0,0.0,1.0,6381.0,22192.0,0.0,3.1573478476001977
15963,1673.0,0.0,1.0,0.0,1.0,6103.0,28129.0,3.0,3.647937836222355
16001,30013.0,0.0,1.0,0.0,1.0,16304.0,63451.0,3.0,0.5432312664512045
16023,7489.0,0.0,0.0,0.0,1.0,3262.0,14723.0,0.0,0.43557217251969554
16033,523.0,0.0,0.0,0.0,0.0,4622.0,41749.0,0.0,8.837476099426386
16037,2697.0,0.0,0.0,0.0,0.0,5327.0,24756.0,0.0,1.975157582499073
16050,4170.0,0.0,0.0,0.0,0.0,4053.0,13718.0,0.0,0.9719424460431655
16057,2020.0,1.0,1.0,1.0,1.0,10512.0,44434.0,2.0,5.203960396039604
16059,74442.0,0.0,0.0,0.0,0.0,4995.0,45908.0,0.0,0.06709921818328363
16101,57793.0,1.0,1.0,1.0,1.0,21759.0,72021.0,2.0,0.37649888394788295
16102,880.0,1.0,1.0,1.0,1.0,6826.0,21233.0,2.0,7.756818181818182
16105,2714.0,1.0,1.0,1.0,1.0,7565.0,37357.0,2.0,2.7873986735445837
