zip,ProductQuantity,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LowIncomeTracts,TractLOWI,Total_Population,Shortage_PF
15313,,0,0,0,0,2686,9980,
15314,,1,1,1,1,4662,20625,
15315,,0,0,0,1,1662,4367,
15316,,0,0,0,0,653,2943,
15320,,0,0,0,1,8401,29283,
15321,,0,0,0,0,1889,11400,
15322,,0,0,0,1,4884,16203,
15324,,0,0,0,0,1157,5663,
15325,,0,0,0,0,2934,10428,
15327,,0,0,0,1,1662,4367,
15329,,0,0,0,0,3273,18990,
15330,,0,0,0,0,4122,35152,
15331,,1,1,1,1,1108,3717,
15332,,0,0,0,0,7229,41680,
15333,,0,0,0,1,4655,15371,
15334,,0,0,0,1,2952,13260,
15336,,0,0,0,0,808,3589,
15337,,0,0,0,0,2412,9857,
15338,,0,0,0,1,5167,20380,
15339,,0,0,0,0,488,3168,
15340,,0,0,0,0,2274,9809,
15342,,0,0,0,0,2649,13002,
15344,,0,0,0,0,4063,15408,
15345,,0,0,0,0,1564,6827,
15346,,0,0,0,0,1129,4980,
15348,,0,0,0,1,1146,2524,
15349,,0,0,0,1,3605,16203,
15350,,0,0,0,0,629,2524,
15351,,0,0,0,0,2215,7120,
15352,,0,0,0,0,1936,7820,
15353,,0,0,0,0,1129,4980,
15357,,0,0,0,1,4080,12952,
15358,,0,0,0,0,1529,4317,
15359,,1,1,1,1,2495,9061,
15360,,1,1,1,1,3550,14040,
15361,,0,0,0,0,1612,7485,
15362,,0,0,0,0,1943,11836,
15363,,0,0,0,0,935,6424,
15364,,0,0,0,0,2412,9857,
15365,,0,0,0,0,1507,6170,
15366,,0,0,0,0,850,4461,
15367,,0,0,0,0,2454,27128,
15368,,0,0,0,1,2213,5048,
15376,,0,0,0,0,3248,13191,
15377,,0,0,0,0,2073,7401,
15378,,0,0,0,0,972,3422,
15379,,0,0,0,0,951,4497,
15380,,0,0,0,0,1283,4877,
15401,,1,1,1,1,19322,59265,
15410,,1,1,1,1,5114,17437,
15411,,0,0,0,1,923,5164,
15413,,0,0,0,1,3119,11842,
15415,,0,0,0,1,1504,6390,
15416,,0,0,0,0,1181,3297,
15420,,1,1,1,1,984,6390,
15421,,0,0,0,0,1260,7231,
15422,,0,0,0,1,1504,6390,
15427,,0,0,0,0,2805,7056,
15428,,1,1,1,1,3407,10433,
15429,,0,0,0,0,1067,2524,
15430,,1,1,1,1,655,1821,
15432,,0,0,0,0,641,2983,
15433,,0,0,0,0,1615,5452,
15434,,1,1,1,1,1148,4732,
15435,,1,1,1,1,2081,11034,
15436,,0,0,0,1,2354,7494,
15437,,0,0,0,1,6518,27750,
15438,,1,1,1,1,2893,12179,
15439,,0,0,0,1,2427,6296,
15440,,0,0,0,0,1260,7231,
15442,,1,1,1,1,3078,15590,
